School,From,To,Yrs,NCAA_Tournament_2019,Win_Percentage_2019,AP_Rank_2019,NCAA_Tournament_2018,Win_Percentage_2018,AP_Ranked_2018,City,State,Overall_Games_Played,Wins,Losses,Overall_Win_Loss_Percentage,AP_Final_Poll_Appearances,NCAA_Tournament_Appearances,Final_Four_Appearances,NCAA_Championships
Abilene Christian,1971,2022,12,1,0.794,0,0,0.5,,Abilene,Texas,359,197,162,0.549,0,2,0,0
Air Force,1958,2022,65,0,0.438,0,0,0.387,,USAF Academy,Colorado,1780,771,1009,0.433,0,4,0,0
Akron,1902,2022,71,0,0.515,0,0,0.438,,Akron,Ohio,1650,981,669,0.595,0,5,0,0
Alabama A&M,2000,2022,23,0,0.156,0,0,0.097,,Normal,Alabama,655,250,405,0.382,0,1,0,0
Alabama,1913,2022,109,0,0.529,0,1,0.556,,Tuscaloosa,Alabama,2822,1738,1083,0.616,16,23,0,0
Alabama State,1983,2022,40,0,0.387,0,0,0.258,,Montgomery,Alabama,1177,553,624,0.47,0,4,0,0
Albany (NY),2000,2022,23,0,0.375,0,0,0.688,,Albany,New York,705,346,359,0.491,0,5,0,0
Alcorn State,1978,2022,45,0,0.323,0,0,0.344,,Alcorn State,Mississippi,1328,575,753,0.433,0,6,0,0
Allegheny,1896,1916,21,,,,,,,Meadville,Pennsylvania,234,191,41,0.823,0,,,
American,1967,2022,56,0,0.5,0,0,0.2,,Washington,D.C.,1575,769,806,0.488,0,3,0,0
Amherst Lord,1901,1902,2,,,,,,,Amherst,Massachusetts,12,12,0,1,0,,,
Appalachian State,1974,2022,49,0,0.344,0,0,0.455,,Boone,North Carolina,1448,711,737,0.491,0,3,0,0
Arizona State,1912,2022,107,1,0.676,0,1,0.625,,Tempe,Arizona,2632,1394,1238,0.53,7,16,0,0
Arizona,1905,2022,115,0,0.531,0,1,0.771,12,Tucson,Arizona,2817,1858,958,0.66,28,36,4,1
Arkansas,1924,2022,99,0,0.529,0,1,0.657,,Fayetteville,Arkansas,2744,1761,983,0.642,18,34,6,1
Arkansas State,1971,2022,52,0,0.406,0,0,0.344,,State University,Arkansas,1505,772,733,0.513,0,1,0,0
Arkansas-Pine Bluff,1999,2022,24,0,0.406,0,0,0.4,,Pine Bluff,Arkansas,723,210,513,0.29,0,1,0,0
Armstrong,1987,1987,1,,,,,,,Savannah,Georgia,28,6,22,0.214,0,0,0,0
Army,1903,2022,120,0,0.406,0,0,0.433,,West Point,New York,2569,1277,1292,0.497,0,0,0,0
Auburn,1906,2022,116,1,0.75,14,1,0.765,19,Auburn,Alabama,2660,1430,1229,0.538,9,11,1,0
Augusta State,1985,1991,7,,,,,,,Augusta,Georgia,197,64,133,0.325,0,0,0,0
Augustana (IL),1902,1917,12,,,,,,,Rock Island,Illinois,116,81,35,0.698,0,,,
Austin Peay,1964,2022,59,0,0.667,0,0,0.559,,Clarksville,Tennessee,1696,850,846,0.501,1,7,0,0
Baker University,1903,1908,6,,,,,,,Baldwin City,Kansas,90,62,28,0.689,0,,,
Baldwin-Wallace,1948,1953,6,,,,,,,Berea,Ohio,139,82,57,0.59,0,0,0,0
Ball State,1972,2022,51,0,0.485,0,0,0.594,,Muncie,Indiana,1497,792,705,0.529,1,7,0,0
Baltimore,1979,1983,5,,,,,,,Baltimore,Maryland,133,46,87,0.346,0,0,0,0
Baylor,1907,2022,116,1,0.588,0,0,0.559,,Waco,Texas,2818,1432,1386,0.508,9,14,3,1
Bellarmine,2021,2022,2,,,,,,,Louisville,Kentucky,55,34,21,0.618,0,0,0,0
Belmont,2000,2022,23,1,0.818,0,0,0.727,,Nashville,Tennessee,731,492,239,0.673,0,8,0,0
Beloit,1911,1924,8,,,,,,,Beloit,Wisconsin,95,66,28,0.702,0,,,
Bethune-Cookman,1981,2022,41,0,0.452,0,0,0.563,,Daytona Beach,Florida,1215,442,773,0.364,0,0,0,0
Binghamton,2002,2022,21,0,0.303,0,0,0.355,,Binghamton,New York,621,221,400,0.356,0,1,0,0
Birmingham-Southern,1920,2006,5,,,,,,,Birmingham,Alabama,105,65,40,0.619,0,0,0,0
Bloomsburg,1896,1911,15,,,,,,,Bloomsburg,Pennsylvania,143,88,55,0.615,0,,,
Boise State,1972,2022,51,0,0.394,0,0,0.719,,Boise,Idaho,1508,849,659,0.563,1,8,0,0
Boston College,1946,2022,77,0,0.452,0,0,0.543,,Chestnut Hill,Massachusetts,2167,1173,994,0.541,8,18,0,0
Boston University,1916,2022,96,0,0.455,0,0,0.484,,Boston,Massachusetts,2218,1142,1076,0.515,0,7,0,0
Bowling Green State,1916,2022,107,0,0.647,0,0,0.5,,Bowling Green,Ohio,2660,1435,1225,0.539,2,4,0,0
Bradley,1903,2022,118,1,0.571,0,0,0.606,,Peoria,Illinois,2964,1721,1243,0.581,12,9,2,0
Brigham Young,1908,1908,1,0,0.594,0,0,0.686,,Logan,Utah,11,10,1,0.909,0,,,
Brigham Young,1903,2022,120,0,0.594,0,0,0.686,,Provo,Utah,3018,1897,1121,0.629,12,30,0,0
Brooklyn,1934,1992,25,,,,,,,Brooklyn,New York,567,233,334,0.411,0,0,0,0
Brown,1901,2022,116,0,0.625,0,0,0.407,,Providence,Rhode Island,2630,1073,1557,0.408,0,2,0,0
Bryant,2011,2022,12,0,0.333,0,0,0.097,,Smithfield,Rhode Island,364,149,215,0.409,0,1,0,0
Bucknell,1896,2022,127,0,0.636,0,1,0.714,,Lewisburg,Pennsylvania,2756,1477,1279,0.536,0,8,0,0
Buffalo,1907,2022,53,1,0.889,15,1,0.75,,Buffalo,New York,1292,668,624,0.517,1,4,0,0
Butler,1897,2022,124,0,0.485,0,1,0.6,,Indianapolis,Indiana,2831,1643,1188,0.58,8,16,2,0
Cal Poly,1995,2022,28,0,0.207,0,0,0.29,,San Luis Obispo,California,817,314,503,0.384,0,1,0,0
Cal State Bakersfield,2011,2022,12,0,0.529,0,0,0.4,,Bakersfield,California,371,181,190,0.488,0,1,0,0
Cal State Fullerton,1975,2022,48,0,0.471,0,1,0.625,,Fullerton,California,1392,662,730,0.476,0,4,0,0
Cal State Los Angeles,1971,1975,5,,,,,,,Los Angeles,California,130,70,60,0.538,0,1,0,0
Cal State Northridge,1991,2022,32,0,0.382,0,0,0.2,,Northridge,California,949,400,549,0.421,0,2,0,0
California Baptist,2019,2022,4,0,0.516,0,,,,Riverside,California,119,68,51,0.571,0,0,0,0
California,1908,2022,113,0,0.258,0,0,0.25,,Berkeley,California,2896,1656,1240,0.572,5,19,3,1
Campbell,1978,2022,45,0,0.606,0,0,0.529,,Buies Creek,North Carolina,1300,551,749,0.424,0,1,0,0
Canisius,1904,2022,118,0,0.469,0,0,0.636,,Buffalo,New York,2651,1337,1314,0.504,1,4,0,0
Canterbury,1931,1931,1,,,,,,,Danville,Indiana,19,19,0,1,0,,,
Carleton College,1910,1934,25,,,,,,,Northfield,Minnesota,360,280,80,0.778,0,,,
Carnegie Mellon,1933,1939,7,,,,,,,Pittsburgh,Pennsylvania,87,40,47,0.46,0,0,0,0
Case Western Reserve,1898,1955,13,,,,,,,Cleveland,Ohio,245,95,150,0.388,0,0,0,0
Catholic,1913,1981,13,,,,,,,Washington,D.C.,248,122,126,0.492,0,1,0,0
Centenary (LA),1960,2011,52,,,,,,,Shreveport,Louisiana,1435,637,798,0.444,1,0,0,0
Central Arkansas,2011,2022,12,0,0.424,0,0,0.514,,Conway,Arkansas,360,109,251,0.303,0,0,0,0
Central Connecticut State,1987,2022,36,0,0.355,0,0,0.438,,New Britain,Connecticut,1045,408,637,0.39,0,3,0,0
Central Florida,1985,2022,38,1,0.727,0,0,0.594,,Orlando,Florida,1132,572,560,0.505,0,5,0,0
Central Michigan,1974,2022,49,0,0.657,0,0,0.583,,Mount Pleasant,Michigan,1410,616,794,0.437,0,4,0,0
Central Missouri,1913,1937,10,,,,,,,Warrensburg,Missouri,178,140,38,0.787,0,,,
Central Pennsylvania College,1896,1900,4,,,,,,,Summerdale,Pennsylvania,6,2,4,0.333,0,,,
Centre (KY),1910,1919,3,,,,,,,Danville,Kentucky,45,41,4,0.911,0,,,
Charleston Southern,1975,2022,48,0,0.529,0,0,0.484,,Charleston,South Carolina,1375,559,816,0.407,0,1,0,0
Charlotte,1973,2022,50,0,0.276,0,0,0.207,,Charlotte,North Carolina,1484,809,675,0.545,2,11,1,0
Chattanooga,1978,2022,45,0,0.375,0,0,0.303,,Chattanooga,Tennessee,1386,840,546,0.606,1,12,0,0
Cheyenne Business College,1903,1903,1,,,,,,,Cheyenne,Wyoming,1,1,0,1,0,,,
Chicago,1896,1946,46,,,,,,,Chicago,Illinois,862,419,443,0.486,0,0,0,0
Chicago State,1985,2022,38,0,0.094,0,0,0.094,,Chicago,Illinois,1093,280,813,0.256,0,0,0,0
Cincinnati,1902,2022,121,1,0.8,22,1,0.861,6,Cincinnati,Ohio,2917,1865,1052,0.639,25,33,6,2
City College of New York,1906,1953,48,,,,,,,New York,New York,725,517,208,0.713,0,2,2,1
Clemson,1912,2022,111,0,0.588,0,1,0.714,20,Clemson,South Carolina,2724,1380,1342,0.507,6,13,0,0
Cleveland State,1973,2022,50,0,0.323,0,0,0.343,,Cleveland,Ohio,1469,732,737,0.498,0,3,0,0
Coastal Carolina,1987,2022,36,0,0.5,0,0,0.438,,Conway,South Carolina,1083,557,526,0.514,0,4,0,0
Colgate,1901,2022,122,1,0.686,0,0,0.576,,Hamilton,New York,2768,1343,1425,0.485,0,5,0,0
College of Charleston,1992,2022,31,0,0.727,0,1,0.765,,Charleston,South Carolina,959,652,307,0.68,2,5,0,0
College of New Jersey,1900,1900,1,,,,,,,Ewing,New Jersey,5,3,2,0.6,0,,,
Colorado,1902,2022,119,0,0.639,0,0,0.531,,Boulder,Colorado,2626,1383,1243,0.527,6,15,2,0
Colorado College,1915,1937,23,,,,,,,Colorado Springs,Colorado,376,233,143,0.62,0,,,
Colorado School of Mines,1908,1937,28,,,,,,,Golden,Colorado,282,80,202,0.284,0,,,
Colorado State,1902,2022,118,0,0.375,0,0,0.344,,Fort Collins,Colorado,2629,1331,1298,0.506,1,11,0,0
Columbia,1901,2022,122,0,0.357,0,0,0.296,,New York,New York,2674,1312,1362,0.491,2,3,0,0
Concordia Seminary,1907,1923,2,,,,,,,St. Louis,Missouri,16,14,2,0.875,0,,,
Connecticut,1901,2022,116,0,0.485,0,0,0.438,,Storrs,Connecticut,2700,1713,987,0.634,17,34,5,4
Coppin State,1986,2022,37,0,0.242,0,0,0.156,,Baltimore,Maryland,1117,506,611,0.453,0,4,0,0
Cornell,1899,2022,124,0,0.484,0,0,0.429,,Ithaca,New York,2756,1284,1472,0.466,0,5,0,0
Cotner College,1910,1911,2,,,,,,,Lincoln,Nebraska,27,24,3,0.889,0,,,
Creighton,1912,2022,102,0,0.571,0,1,0.636,,Omaha,Nebraska,2679,1631,1048,0.609,6,23,0,0
Cumberland,1904,1904,1,,,,,,,Lebanon,Tennessee,4,4,0,1,0,,,
Dakota Wesleyan,1932,1932,1,,,,,,,Mitchell,South Carolina,20,19,1,0.95,0,,,
Dartmouth,1900,2022,122,0,0.367,0,0,0.259,,Hanover,New Hampshire,2886,1328,1556,0.46,0,7,2,0
Davidson,1909,2022,113,0,0.706,0,1,0.636,,Davidson,North Carolina,2765,1517,1248,0.549,6,15,0,0
Dayton,1904,2022,117,0,0.636,0,0,0.452,,Dayton,Ohio,2853,1712,1141,0.6,8,18,1,0
Delaware,1906,2022,81,0,0.515,0,0,0.424,,Newark,Delaware,1972,982,989,0.498,0,6,0,0
Delaware State,1974,2022,49,0,0.194,0,0,0.125,,Dover,Delaware,1407,541,866,0.385,0,1,0,0
Denison,1905,1944,24,,,,,,,Granville,Ohio,362,269,93,0.743,0,0,0,0
Denver,1904,2022,99,0,0.267,0,0,0.5,,Denver,Colorado,2158,961,1197,0.445,0,0,0,0
DePaul,1924,2022,99,0,0.528,0,0,0.355,,Chicago,Illinois,2573,1503,1070,0.584,12,22,2,0
DePauw,1916,1932,17,,,,,,,Greencastle,Indiana,276,182,94,0.659,0,,,
Detroit Mercy,1910,2022,113,0,0.355,0,0,0.25,,Detroit,Michigan,2732,1450,1282,0.531,2,6,0,0
Dickinson College,1926,1947,2,,,,,,,Carlisle,Pennsylvania,34,30,4,0.882,0,0,0,0
Dixie State,2021,2022,2,,,,,,,St. George,Utah,52,21,31,0.404,0,0,0,0
Drake,1907,2022,116,0,0.706,0,0,0.5,,Des Moines,Iowa,2824,1314,1510,0.465,5,5,1,0
Drexel,1895,2022,52,0,0.406,0,0,0.394,,Philadelphia,Pennsylvania,1436,785,651,0.547,0,5,0,0
Duke,1906,2022,117,1,0.842,1,1,0.784,9,Durham,North Carolina,3157,2246,911,0.711,50,44,17,5
Duquesne,1914,2022,106,0,0.594,0,0,0.5,,Pittsburgh,Pennsylvania,2604,1438,1166,0.552,7,5,1,0
East Carolina,1967,2022,56,0,0.323,0,0,0.333,,Greenville,North Carolina,1593,698,895,0.438,0,2,0,0
East Central,1929,1931,3,,,,,,,Ada,Oklahoma,74,66,8,0.892,0,,,
East Tennessee State,1959,2022,64,0,0.706,0,0,0.735,,Johnson City,Tennessee,1833,1005,828,0.548,1,10,0,0
Eastern Illinois,1982,2022,41,0,0.438,0,0,0.387,,Charleston,Illinois,1205,543,662,0.451,0,2,0,0
Eastern Kentucky,1948,2022,72,0,0.419,0,0,0.355,,Richmond,Kentucky,1946,957,989,0.492,0,8,0,0
Eastern Michigan,1933,2022,50,0,0.469,0,0,0.629,,Ypsilanti,Michigan,1469,691,778,0.47,0,4,0,0
Eastern Washington,1984,2022,39,0,0.471,0,0,0.571,,Cheney,Washington,1141,506,635,0.443,0,3,0,0
Elon,2000,2022,23,0,0.344,0,0,0.438,,Elon,North Carolina,702,298,404,0.425,0,0,0,0
Emporia State,1934,1934,1,,,,,,,Emporia,Kansas,18,17,1,0.944,0,,,
Ensign College,1903,1903,1,,,,,,,Salt Lake City,Utah,16,15,1,0.938,0,,,
Evansville,1925,2022,49,0,0.344,0,0,0.531,,Evansville,Indiana,1392,731,661,0.525,0,5,0,0
Fairfield,1965,2022,58,0,0.29,0,0,0.515,,Fairfield,Connecticut,1665,804,861,0.483,0,3,0,0
Fairleigh Dickinson,1968,2022,55,1,0.6,0,0,0.419,,Teaneck,New Jersey,1544,730,814,0.473,0,6,0,0
Florida A&M,1980,2022,43,0,0.387,0,0,0.265,,Tallahassee,Florida,1262,487,775,0.386,0,3,0,0
Florida Atlantic,1994,2022,29,0,0.515,0,0,0.387,,Boca Raton,Florida,861,329,532,0.382,0,1,0,0
Florida,1921,2022,101,1,0.556,0,1,0.618,23,Gainesville,Florida,2638,1486,1151,0.564,15,23,5,2
Florida Gulf Coast,2011,2022,12,0,0.438,0,0,0.657,,Fort Myers,Florida,387,221,166,0.571,0,3,0,0
Florida International,1988,2022,35,0,0.588,0,0,0.438,,Miami,Florida,1042,422,620,0.405,0,1,0,0
Florida State,1957,2022,66,1,0.784,10,1,0.657,,Tallahassee,Florida,1948,1163,785,0.597,12,18,1,0
Fordham,1903,2022,118,0,0.375,0,0,0.29,,Bronx,New York,2981,1545,1436,0.518,1,4,0,0
Franklin,1907,1925,18,,,,,,,Franklin,Indiana,221,144,77,0.652,0,,,
Fresno State,1956,2022,55,0,0.719,0,0,0.656,,Fresno,California,1659,932,727,0.562,1,6,0,0
Furman,1920,2022,101,0,0.758,0,0,0.697,,Greenville,South Carolina,2581,1305,1276,0.506,0,6,0,0
Gardner-Webb,2003,2022,20,1,0.657,0,0,0.438,,Boiling Springs,North Carolina,626,295,331,0.471,0,1,0,0
Geneva,1893,1943,10,,,,,,,Beaver Falls,Pennsylvania,125,80,45,0.64,0,0,0,0
George Mason,1979,2022,44,0,0.545,0,0,0.485,,Fairfax,Virginia,1321,708,613,0.536,0,6,1,0
George Washington,1913,2022,105,0,0.273,0,0,0.455,,Washington,D.C.,2579,1378,1201,0.534,3,11,0,0
Georgetown,1907,2022,114,0,0.576,0,0,0.5,,Washington,D.C.,2814,1706,1108,0.606,20,31,5,1
Georgia,1906,2022,117,0,0.344,0,0,0.545,,Athens,Georgia,2826,1459,1367,0.516,5,12,1,0
Georgia Southern,1972,2022,51,0,0.636,0,0,0.636,,Statesboro,Georgia,1487,760,727,0.511,0,3,0,0
Georgia State,1974,2022,49,1,0.706,0,1,0.686,,Atlanta,Georgia,1430,646,784,0.452,0,6,0,0
Georgia Tech,1920,2022,103,0,0.438,0,0,0.406,,Atlanta,Georgia,2684,1412,1272,0.526,8,17,2,0
Gettysburg,1901,1973,41,,,,,,,Gettysburg,Pennsylvania,724,385,339,0.532,0,0,0,0
Gonzaga,1944,2022,71,1,0.892,4,1,0.865,8,Spokane,Washington,2102,1395,707,0.664,15,24,2,0
Grambling,1978,2022,45,0,0.5,0,0,0.548,,Grambling,Louisiana,1284,485,799,0.378,0,0,0,0
Grand Canyon,2014,2022,9,0,0.588,0,0,0.647,,Phoenix,Arizona,280,176,104,0.629,0,1,0,0
Green Bay,1982,2022,41,0,0.553,0,0,0.394,,Green Bay,Wisconsin,1247,669,578,0.536,0,5,0,0
Grinnell,1901,1939,38,,,,,,,Grinnell,Iowa,550,280,270,0.509,0,0,0,0
Grove City,1899,1925,27,,,,,,,Grove City,Pennsylvania,383,257,126,0.671,0,,,
Hamline,1945,1948,4,,,,,,,St. Paul,Minnesota,102,82,20,0.804,0,0,0,0
Hampton,1996,2022,27,0,0.514,0,0,0.529,,Hampton,Virginia,829,426,403,0.514,0,6,0,0
Hardin-Simmons,1923,1990,45,,,,,,,Abilene,Texas,1149,481,668,0.419,0,2,0,0
Hartford,1985,2022,38,0,0.545,0,0,0.576,,West Hartford,Connecticut,1127,481,646,0.427,0,1,0,0
Harvard,1901,2022,111,0,0.613,0,0,0.563,,Boston,Massachusetts,2538,1187,1351,0.468,0,5,0,0
Haskell (KS),1903,1908,2,,,,,,,Lawrence,Kansas,39,27,12,0.692,0,,,
Hawaii,1971,2022,52,0,0.581,0,0,0.567,,Honolulu,Hawaii,1518,803,715,0.529,1,5,0,0
High Point,2000,2022,23,0,0.516,0,0,0.467,,High Point,North Carolina,695,327,368,0.471,0,0,0,0
Hiram,1894,1904,8,,,,,,,Hiram,Ohio,59,45,14,0.763,0,,,
